iteration,population_size,to_mate,to_mutate,fitness,time
3120,200,25,10,39.0,0.193918795
3130,200,25,10,27.0,0.209060365
3140,200,25,10,27.0,0.196026136
3150,200,25,10,23.0,0.210218085
3160,200,25,10,27.0,0.195559854
3170,200,25,10,39.0,0.231118065
3180,200,25,10,27.0,0.195983014
3190,200,25,10,37.0,0.223118845
3200,200,25,10,34.0,0.195730762
3210,200,25,10,30.0,0.200708875
3220,200,25,10,27.0,0.210463708
3230,200,25,10,25.0,0.20276048
3240,200,25,10,25.0,0.20362922
3250,200,25,10,29.0,0.204331928
3260,200,25,10,37.0,0.194609736
3270,200,25,10,28.0,0.224049486
3280,200,25,10,26.0,0.225804518
3290,200,25,10,24.0,0.21072634
3300,200,25,10,32.0,0.201493871
3310,200,25,10,30.0,0.24236552
3320,200,25,10,34.0,0.209722111
3330,200,25,10,27.0,0.215487899
3340,200,25,10,32.0,0.228798892
3350,200,25,10,39.0,0.217845373
3360,200,25,10,27.0,0.255279664
3370,200,25,10,34.0,0.215363351
3380,200,25,10,37.0,0.22613669
3390,200,25,10,28.0,0.220060874
3400,200,25,10,29.0,0.262049671
3410,200,25,10,39.0,0.222738066
3420,200,25,10,24.0,0.223221331
3430,200,25,10,33.0,0.214648631
3440,200,25,10,31.0,0.256473271
3450,200,25,10,18.0,0.217472034
3460,200,25,10,29.0,0.216246123
3470,200,25,10,32.0,0.217667557
3480,200,25,10,36.0,0.23001896
3490,200,25,10,34.0,0.229633211
3500,200,25,10,28.0,0.236581755
3510,200,25,10,31.0,0.229688224
3520,200,25,10,32.0,0.213959586
3530,200,25,10,36.0,0.238177298
3540,200,25,10,29.0,0.21176265
3550,200,25,10,47.0,0.213595017
3560,200,25,10,34.0,0.220421003
3570,200,25,10,30.0,0.215713534
3580,200,25,10,30.0,0.237378977
3590,200,25,10,30.0,0.217528146
3600,200,25,10,26.0,0.221208579
3610,200,25,10,39.0,0.213294535
3620,200,25,10,33.0,0.24170331
3630,200,25,10,35.0,0.215766171
3640,200,25,10,24.0,0.220457787
3650,200,25,10,37.0,0.224389605
3660,200,25,10,44.0,0.26067828
3670,200,25,10,28.0,0.231596313
3680,200,25,10,32.0,0.223156311
3690,200,25,10,28.0,0.22752789
3700,200,25,10,57.0,0.22060893
3710,200,25,10,30.0,0.251738764
3720,200,25,10,34.0,0.237158235
3730,200,25,10,38.0,0.232866372
3740,200,25,10,32.0,0.225316026
3750,200,25,10,28.0,0.242641848
3760,200,25,10,21.0,0.226266567
3770,200,25,10,43.0,0.232100376
3780,200,25,10,22.0,0.226881242
3790,200,25,10,33.0,0.26245748
3800,200,25,10,30.0,0.233496485
3810,200,25,10,36.0,0.229099541
3820,200,25,10,32.0,0.235666299
3830,200,25,10,32.0,0.249283008
3840,200,25,10,29.0,0.238468935
3850,200,25,10,44.0,0.233362396
3860,200,25,10,38.0,0.239305629
3870,200,25,10,30.0,0.233100664
3880,200,25,10,31.0,0.256449534
3890,200,25,10,43.0,0.239114204
3900,200,25,10,30.0,0.242666936
3910,200,25,10,30.0,0.234889089
3920,200,25,10,29.0,0.269768222
3930,200,25,10,30.0,0.252145349
3940,200,25,10,37.0,0.248681248
3950,200,25,10,36.0,0.249165046
3960,200,25,10,39.0,0.248818749
3970,200,25,10,38.0,0.238945911
3980,200,25,10,37.0,0.251250501
3990,200,25,10,40.0,0.245986999
4000,200,25,10,25.0,0.273407845
4010,200,25,10,43.0,0.245404067
4020,200,25,10,23.0,0.24935465
4030,200,25,10,32.0,0.278170987
4040,200,25,10,37.0,0.251951863
4050,200,25,10,31.0,0.246467401
4060,200,25,10,33.0,0.251898258
4070,200,25,10,31.0,0.261051947
4080,200,25,10,37.0,0.260428571
4090,200,25,10,41.0,0.25026371
4100,200,25,10,32.0,0.253942679
4110,200,25,10,33.0,0.262456169
4120,200,25,10,43.0,0.260827554
4130,200,25,10,26.0,0.264879679
4140,200,25,10,26.0,0.252716951
4150,200,25,10,46.0,0.261691836
4160,200,25,10,35.0,0.250662606
4170,200,25,10,28.0,0.254939078
4180,200,25,10,30.0,0.251366008
4190,200,25,10,36.0,0.27552589
4200,200,25,10,28.0,0.253492148
4210,200,25,10,34.0,0.260016879
4220,200,25,10,33.0,0.252926439
4230,200,25,10,44.0,0.336992338
4240,200,25,10,37.0,0.256106778
4250,200,25,10,33.0,0.262807125
4260,200,25,10,35.0,0.272681042
4270,200,25,10,42.0,0.266279484
4280,200,25,10,34.0,0.258100849
4290,200,25,10,34.0,0.265452847
4300,200,25,10,29.0,0.278058008
4310,200,25,10,45.0,0.272273944
4320,200,25,10,48.0,0.277735577
4330,200,25,10,37.0,0.268809714
4340,200,25,10,32.0,0.290451752
4350,200,25,10,34.0,0.262858504
4360,200,25,10,32.0,0.267351577
4370,200,25,10,48.0,0.277665837
4380,200,25,10,49.0,0.271088241
4390,200,25,10,44.0,0.266056861
4400,200,25,10,35.0,0.273004529
4410,200,25,10,40.0,0.278725399
4420,200,25,10,39.0,0.266140344
4430,200,25,10,37.0,0.271658539
4440,200,25,10,31.0,0.275650249
4450,200,25,10,36.0,0.287750549
4460,200,25,10,35.0,0.274984591
4470,200,25,10,34.0,0.281104556
4480,200,25,10,39.0,0.356108811
4490,200,25,10,31.0,0.287788061
4500,200,25,10,36.0,0.276771429
4510,200,25,10,44.0,0.287945413
4520,200,25,10,30.0,0.287191197
4530,200,25,10,27.0,0.324691634
4540,200,25,10,43.0,0.319434413
4550,200,25,10,30.0,0.278273313
4560,200,25,10,25.0,0.274599268
4570,200,25,10,34.0,0.345157796
4580,200,25,10,24.0,0.281530252
4590,200,25,10,28.0,0.281248318
4600,200,25,10,26.0,0.28190332
4610,200,25,10,42.0,0.358366785
4620,200,25,10,44.0,0.295149384
4630,200,25,10,29.0,0.289806155
4640,200,25,10,43.0,0.280355766
4650,200,25,10,36.0,0.304340252
4660,200,25,10,44.0,0.333588912
