iterations,fitness,time
2320,3356.35153268,0.000585116
2330,3109.1093667,0.000709838
2340,3255.73462779,0.00084125
2350,3206.27828531,0.001240089
2360,3066.52030119,0.000812706
2370,3216.67074581,0.000784392
2380,3364.38913883,0.001228631
2390,2807.4820371,0.000770301
2400,3264.91057124,0.001205977
2410,2986.91257488,0.000824166
2420,3070.36512881,0.001246541
2430,3202.6764021,0.001237231
2440,3148.55213948,0.000685066
2450,2883.44466662,0.000653465
2460,3257.45801055,0.000631729
2470,3202.84177771,0.010466504
2480,3075.9763524,0.000320653
2490,3185.47577791,0.000490079
2500,3176.39465505,0.000299968
2510,3107.85658437,0.000300132
2520,3283.89255801,0.000291262
2530,3175.52063928,0.000313455
2540,3223.68958506,0.000449372
2550,2861.75826095,0.00062677
2560,3116.55211893,0.000706507
2570,2928.58043003,0.00032736
2580,3052.08330309,0.00028701
2590,3549.19777518,0.000249258
2600,3315.32536314,0.000268663
2610,3015.83768831,0.000239617
2620,3125.46903577,0.000238993
2630,3120.75218762,0.000241818
2640,3208.4292094,0.000255167
2650,2997.19990207,0.000237408
2660,2881.93568454,0.000248762
2670,3063.14624094,0.000237223
2680,2979.24311988,0.000243241
2690,3160.49540394,0.000241008
2700,3335.49057132,0.000289358
2710,3382.93918736,0.000324911
2720,3130.08830339,0.000290246
2730,3265.19336013,0.000256864
2740,3057.4340268,0.000244012
2750,3135.69093281,0.000242171
2760,3138.70681808,0.000250272
2770,3034.5342906,0.000245898
2780,3037.88838358,0.00025123
2790,2878.98224361,0.000262667
2800,3315.44059936,0.00026808
2810,3117.62483293,0.000251594
2820,3171.61100624,0.000248905
2830,3048.89088608,0.000276256
2840,3082.08653991,0.00025473
2850,3143.59773098,0.000270933
2860,3117.50085352,0.000254554
2870,2884.20178497,0.00030034
2880,3274.29725513,0.00029903
2890,3312.35590816,0.00025886
2900,3040.26237384,0.000275301
2910,3073.46110915,0.000256275
2920,3234.80658177,0.000304134
2930,3270.51983331,0.000272195
2940,3211.85854041,0.000312147
2950,3055.8083884,0.000267196
2960,3218.61376227,0.000280303
2970,3041.19103436,0.000268859
2980,2965.67844481,0.000267958
2990,3233.7223591,0.000265063
3000,2993.02629922,0.000270851
3010,3155.10092658,0.000269637
3020,3129.58444612,0.000279059
3030,3216.75421252,0.000277406
3040,2839.74641856,0.000287421
3050,2939.2165108,0.000284176
3060,2981.47060898,0.000298819
3070,3153.69425872,0.000271803
3080,2973.68262911,0.000297862
3090,3056.45954499,0.00028045
3100,3251.36481348,0.000274755
3110,3218.14484089,0.000272066
3120,3176.84038611,0.000285814
3130,3182.04428145,0.000301806
3140,3046.45687474,0.000276883
3150,3184.83174066,0.000281768
3160,3029.63856177,0.000379384
3170,3067.67317447,0.000382086
3180,3032.25184366,0.000344972
3190,3032.88059275,0.000379464
3200,3228.54450066,0.00028074
3210,3013.85050043,0.000289658
3220,3112.72277567,0.000314882
3230,3248.32767298,0.000368767
3240,3066.51959705,0.000290432
3250,3143.8301002,0.00038057
3260,3099.02168162,0.000373447
3270,3170.25076832,0.000374484
3280,2812.95249921,0.000383074
3290,2989.84895553,0.000365817
3300,3216.24259202,0.000309068
3310,3140.27248053,0.000389333
3320,3109.71524563,0.000374234
3330,3422.06463248,0.000392978
3340,3193.5820768,0.000309334
3350,3117.62676371,0.000317875
3360,3164.14383343,0.00038411
3370,3432.25602911,0.000413229
3380,3477.57977693,0.000395139
3390,3231.94818959,0.000518816
3400,3228.09785092,0.000405192
3410,3120.41497903,0.000309099
3420,2977.17317468,0.000337994
3430,3126.6248417,0.000331883
3440,3025.02209153,0.00034998
3450,3153.29039823,0.000308215
3460,3208.49358549,0.000309251
3470,3024.37890682,0.000304544
3480,2881.68710654,0.000320258
3490,3102.66841464,0.000366056
3500,3011.06050885,0.000365545
3510,3144.70875766,0.000308633
3520,3272.61237181,0.001004082
3530,3051.45537839,0.001502074
3540,3458.06354149,0.000327169
3550,2612.3209113,0.000315072
3560,2929.99855214,0.000323886
3570,3133.53325264,0.003776465
3580,3178.80902539,0.000405673
3590,3137.28896511,0.000426738
3600,3003.03136531,0.000321052
3610,3135.68566472,0.000425832
3620,3132.57626935,0.000447563
3630,2969.1649792,0.000421788
3640,2993.05456203,0.000416688
3650,3281.60135812,0.000411475
3660,3059.52649704,0.000416918
3670,3454.26213076,0.000326504
3680,3180.47990749,0.000341577
3690,3308.31996726,0.000417159
3700,3124.99812633,0.000438534
3710,2853.80202865,0.000331582
3720,3009.02522685,0.000454215
3730,3351.94329231,0.000531122
3740,3051.5887767,0.000431397
3750,2997.36298896,0.001079266
3760,2967.39027982,0.00042409
3770,3141.30551546,0.000824255
3780,3086.13005224,0.00067071
3790,3000.84826477,0.000468481
3800,2962.66146231,0.000504795
3810,3046.9162546,0.000433508
3820,3161.3341144,0.000456188
3830,3118.82477202,0.000773951
3840,3303.77514129,0.000544839
3850,2977.01451299,0.001045678
3860,3369.86509605,0.000503975
3870,2969.02183281,0.000442396
3880,2847.70677098,0.000452918
3890,2942.22319766,0.000974635
3900,3246.20863453,0.000659405
3910,2888.80873119,0.000650061
3920,3245.72200746,0.000367002
3930,2983.74747475,0.000422469
3940,3293.82627611,0.000983494
3950,3161.36207091,0.000344492
3960,3045.45970995,0.000375791
3970,3332.8135207,0.000354131
