iterations,fitness,time
2290,8.0,0.008028661
2300,21.0,0.002495887
2310,9.0,0.008044685
2320,9.0,0.007833784
2330,18.0,0.000488117
2340,17.0,0.001458887
2350,14.0,0.000522053
2360,3.0,0.000485453
2370,13.0,0.001968051
2380,12.0,0.00046443
2390,18.0,0.00045587
2400,15.0,0.000459627
2410,15.0,0.000716895
2420,3.0,0.000414406
2430,23.0,0.000687097
2440,11.0,0.001391767
2450,28.0,0.000536637
2460,15.0,0.001498953
2470,11.0,0.000510089
2480,14.0,0.000435715
2490,4.0,0.000487254
2500,15.0,0.000707995
2510,27.0,0.000903771
2520,9.0,0.001021344
2530,8.0,0.003215425
2540,20.0,0.000651795
2550,5.0,0.00062184
2560,11.0,0.000588947
2570,12.0,0.000623329
2580,18.0,0.00065298
2590,25.0,0.000591372
2600,11.0,0.000685314
2610,9.0,0.00062363
2620,13.0,0.000502565
2630,18.0,0.00065652
2640,27.0,0.000505306
2650,13.0,0.000693368
2660,18.0,0.000628111
2670,11.0,0.0006214
2680,13.0,0.000614714
2690,16.0,0.000652103
2700,9.0,0.000703966
2710,17.0,0.001234477
2720,7.0,0.000533463
2730,21.0,0.000715621
2740,14.0,0.000752585
2750,16.0,0.000686327
2760,15.0,0.000733553
2770,13.0,0.002779903
2780,15.0,0.000587134
2790,23.0,0.000606409
2800,11.0,0.000481281
2810,15.0,0.000481281
2820,8.0,0.00046502
2830,10.0,0.000519894
2840,20.0,0.00045709
2850,6.0,0.000522293
2860,21.0,0.000512196
2870,15.0,0.000478382
2880,11.0,0.00049085
2890,16.0,0.000491517
2900,33.0,0.000573557
2910,28.0,0.000489359
2920,10.0,0.000547109
2930,27.0,0.000641305
2940,16.0,0.000556724
2950,4.0,0.00060305
2960,8.0,0.00059934
2970,30.0,0.000515451
2980,11.0,0.000499725
2990,36.0,0.000524169
3000,28.0,0.000515424
3010,10.0,0.00052492
3020,15.0,0.000591716
3030,15.0,0.000526624
3040,15.0,0.000515064
3050,14.0,0.000535367
3060,18.0,0.00051244
3070,10.0,0.00051668
3080,28.0,0.000551828
3090,20.0,0.000517746
3100,21.0,0.00072203
3110,17.0,0.000582173
3120,21.0,0.000800026
3130,17.0,0.00056448
3140,20.0,0.000704889
3150,21.0,0.000723308
3160,15.0,0.000809791
3170,9.0,0.001630041
3180,11.0,0.002789904
3190,38.0,0.002683303
3200,21.0,0.002814128
3210,9.0,0.002514476
3220,19.0,0.002621929
3230,8.0,0.002641962
3240,24.0,0.003668709
3250,16.0,0.003118569
3260,13.0,0.004866231
3270,8.0,0.002716721
3280,24.0,0.005100718
3290,24.0,0.003944205
3300,12.0,0.002657175
3310,25.0,0.004106337
3320,25.0,0.00357217
3330,15.0,0.003372143
3340,23.0,0.004002164
3350,19.0,0.005998685
3360,30.0,0.000674786
3370,14.0,0.002072021
3380,18.0,0.000648381
3390,27.0,0.000596354
3400,12.0,0.000563675
3410,16.0,0.000650841
3420,14.0,0.000712248
3430,19.0,0.000595654
3440,10.0,0.001287565
3450,15.0,0.001087416
3460,24.0,0.001492134
3470,26.0,0.000599916
3480,16.0,0.000697871
3490,6.0,0.001093585
3500,17.0,0.001581618
3510,15.0,0.002470168
3520,32.0,0.001214577
3530,8.0,0.000818948
3540,4.0,0.001657912
3550,23.0,0.001309813
3560,23.0,0.001116895
3570,23.0,0.000599844
3580,28.0,0.000664037
3590,10.0,0.000779497
3600,6.0,0.002091714
3610,13.0,0.002106995
3620,30.0,0.001496999
3630,13.0,0.000833299
3640,27.0,0.000833238
3650,12.0,0.000655885
3660,26.0,0.00064415
3670,23.0,0.000675024
3680,20.0,0.0020994
3690,16.0,0.002249723
3700,32.0,0.00169075
3710,8.0,0.000704883
3720,19.0,0.000808639
3730,16.0,0.000698188
3740,11.0,0.000822236
3750,29.0,0.00073911
3760,39.0,0.000763901
3770,17.0,0.000818255
3780,19.0,0.000812793
3790,17.0,0.000787118
3800,23.0,0.000903792
3810,16.0,0.000735173
3820,13.0,0.001388878
3830,41.0,0.000944018
3840,17.0,0.002677504
3850,21.0,0.000828943
3860,14.0,0.000670367
3870,39.0,0.000872947
3880,23.0,0.000706719
3890,28.0,0.000765743
3900,23.0,0.000700858
3910,19.0,0.000749081
3920,16.0,0.000661911
3930,8.0,0.000873969
3940,12.0,0.000837331
3950,21.0,0.000679278
3960,23.0,0.000867989
3970,25.0,0.000744735
3980,31.0,0.000832145
3990,36.0,0.000816859
4000,26.0,0.000775116
4010,26.0,0.000802579
4020,20.0,0.000883736
4030,22.0,0.001015776
4040,24.0,0.000904283
4050,27.0,0.000820544
4060,27.0,0.000760839
4070,18.0,0.000688475
4080,45.0,0.002121444
4090,8.0,0.000969261
4100,24.0,0.002215182
4110,23.0,0.001960745
4120,23.0,0.001317999
4130,17.0,0.001616026
4140,30.0,0.00100064
4150,15.0,0.001373466
4160,28.0,0.001429282
4170,17.0,0.00163288
4180,22.0,0.001379693
4190,20.0,0.002060206
4200,24.0,0.001865286
4210,41.0,0.002162695
4220,25.0,0.000811196
4230,19.0,0.000929185
4240,13.0,0.000794944
4250,34.0,0.000914528
4260,29.0,0.000790231
4270,34.0,0.00188643
4280,31.0,0.005238834
4290,21.0,0.005868162
4300,13.0,0.00484461
4310,26.0,0.003448706
4320,33.0,0.006842834
4330,19.0,0.004399967
4340,23.0,0.004552437
4350,20.0,0.005901601
4360,24.0,0.004032375
4370,19.0,0.005937875
4380,34.0,0.004382474
4390,40.0,0.004852802
4400,28.0,0.004293255
4410,18.0,0.007053046
4420,26.0,0.004488714
4430,42.0,0.006082882
4440,20.0,0.005537083
4450,35.0,0.004453166
4460,12.0,0.006191435
4470,22.0,0.000761204
4480,20.0,0.000875792
4490,26.0,0.000933314
4500,19.0,0.000745109
4510,23.0,0.000788399
4520,18.0,0.000768649
4530,23.0,0.000801705
4540,21.0,0.000741886
4550,46.0,0.000827232
4560,19.0,0.000812757
4570,19.0,0.000809726
4580,24.0,0.000839633
4590,39.0,0.000775865
4600,27.0,0.000767404
4610,23.0,0.000801371
4620,27.0,0.00080502
4630,35.0,0.000792156
4640,27.0,0.000785754
4650,24.0,0.000857123
4660,15.0,0.00086904
4670,26.0,0.000841161
4680,24.0,0.000995897
4690,23.0,0.000805288
4700,36.0,0.000987887
4710,21.0,0.001005653
4720,23.0,0.00129663
4730,11.0,0.000791852
4740,30.0,0.001023472
4750,19.0,0.00114863
4760,28.0,0.000997157
4770,21.0,0.001022617
4780,19.0,0.000937971
4790,19.0,0.001054042
4800,29.0,0.000845985
4810,14.0,0.000972685
4820,23.0,0.000881889
4830,36.0,0.001029948
4840,18.0,0.001112143
4850,19.0,0.001064703
4860,32.0,0.001303876
4870,40.0,0.002403768
4880,22.0,0.000983473
4890,44.0,0.001022479
4900,20.0,0.000954603
4910,33.0,0.00107831
4920,15.0,0.001086202
4930,23.0,0.003223026
4940,49.0,0.0010738
4950,17.0,0.00189337
4960,14.0,0.001374963
4970,26.0,0.001237785
4980,17.0,0.001571357
4990,13.0,0.002167586
