iteration,population_size,to_mate,to_mutate,fitness,time
2800,20,4,0,50.0,0.016074497
2810,20,4,0,47.0,0.009590268
2820,20,4,0,49.0,0.011185198
2830,20,4,0,44.0,0.010525095
2840,20,4,0,49.0,0.00811581
2850,20,4,0,50.0,0.008535201
2860,20,4,0,48.0,0.009160893
2870,20,4,0,56.0,0.008443717
2880,20,4,0,41.0,0.009254287
2890,20,4,0,45.0,0.008735926
2900,20,4,0,42.0,0.011772619
2910,20,4,0,46.0,0.01001625
2920,20,4,0,45.0,0.008685859
2930,20,4,0,43.0,0.009708606
2940,20,4,0,43.0,0.008432322
2950,20,4,0,52.0,0.011038332
2960,20,4,0,48.0,0.00860922
2970,20,4,0,41.0,0.010557866
2980,20,4,0,45.0,0.012608634
2990,20,4,0,53.0,0.01128175
3000,20,4,0,47.0,0.011962569
3010,20,4,0,44.0,0.037621576
3020,20,4,0,48.0,0.022794752
3030,20,4,0,43.0,0.010760953
3040,20,4,0,46.0,0.008768277
3050,20,4,0,42.0,0.009582347
3060,20,4,0,43.0,0.009277289
3070,20,4,0,46.0,0.008933693
3080,20,4,0,45.0,0.009073653
3090,20,4,0,44.0,0.008980733
3100,20,4,0,47.0,0.008975158
3110,20,4,0,47.0,0.010589926
3120,20,4,0,47.0,0.011403276
3130,20,4,0,53.0,0.011949204
3140,20,4,0,45.0,0.009697518
3150,20,4,0,52.0,0.011915797
3160,20,4,0,48.0,0.012094435
3170,20,4,0,46.0,0.01397071
3180,20,4,0,38.0,0.012358155
3190,20,4,0,44.0,0.011861821
3200,20,4,0,54.0,0.009729548
3210,20,4,0,45.0,0.011125536
3220,20,4,0,50.0,0.013533075
3230,20,4,0,47.0,0.012585697
3240,20,4,0,44.0,0.00974773
3250,20,4,0,52.0,0.010079977
3260,20,4,0,47.0,0.010408793
3270,20,4,0,45.0,0.009504206
3280,20,4,0,48.0,0.009886407
3290,20,4,0,42.0,0.011634542
3300,20,4,0,46.0,0.016752713
3310,20,4,0,50.0,0.012281128
3320,20,4,0,44.0,0.012340596
3330,20,4,0,51.0,0.013872013
3340,20,4,0,44.0,0.013570471
3350,20,4,0,44.0,0.011888649
3360,20,4,0,46.0,0.012319681
3370,20,4,0,51.0,0.010903342
3380,20,4,0,40.0,0.010000814
3390,20,4,0,41.0,0.010511439
3400,20,4,0,48.0,0.011074898
3410,20,4,0,49.0,0.01090273
3420,20,4,0,47.0,0.016968501
3430,20,4,0,49.0,0.036137513
3440,20,4,0,51.0,0.022492977
3450,20,4,0,46.0,0.017620155
3460,20,4,0,45.0,0.012916581
3470,20,4,0,44.0,0.013478693
3480,20,4,0,45.0,0.012498157
3490,20,4,0,41.0,0.013942809
3500,20,4,0,44.0,0.012367904
3510,20,4,0,48.0,0.012508753
3520,20,4,0,44.0,0.01138558
3530,20,4,0,47.0,0.010168622
3540,20,4,0,45.0,0.01036042
3550,20,4,0,44.0,0.011320013
3560,20,4,0,46.0,0.011637046
3570,20,4,0,54.0,0.011764651
3580,20,4,0,42.0,0.012133227
3590,20,4,0,45.0,0.015305325
3600,20,4,0,51.0,0.015767722
3610,20,4,0,48.0,0.014979902
3620,20,4,0,46.0,0.017635739
3630,20,4,0,51.0,0.019420991
3640,20,4,0,55.0,0.018890692
3650,20,4,0,48.0,0.016456198
3660,20,4,0,47.0,0.011680862
3670,20,4,0,54.0,0.012333428
3680,20,4,0,51.0,0.012242616
3690,20,4,0,42.0,0.012008404
3700,20,4,0,49.0,0.01130869
3710,20,4,0,44.0,0.011547176
3720,20,4,0,45.0,0.01398093
3730,20,4,0,37.0,0.014179896
3740,20,4,0,49.0,0.016871233
3750,20,4,0,47.0,0.016597494
3760,20,4,0,47.0,0.016609266
3770,20,4,0,43.0,0.016509735
3780,20,4,0,48.0,0.014320051
3790,20,4,0,42.0,0.014623616
3800,20,4,0,46.0,0.015401923
3810,20,4,0,46.0,0.012594768
3820,20,4,0,42.0,0.019347363
3830,20,4,0,45.0,0.034469136
3840,20,4,0,41.0,0.01490213
3850,20,4,0,45.0,0.016753786
3860,20,4,0,53.0,0.014284769
3870,20,4,0,46.0,0.017939283
3880,20,4,0,50.0,0.014874708
3890,20,4,0,42.0,0.015963412
3900,20,4,0,49.0,0.016264181
3910,20,4,0,42.0,0.013611991
3920,20,4,0,49.0,0.011830069
3930,20,4,0,44.0,0.012805411
3940,20,4,0,50.0,0.014712892
3950,20,4,0,43.0,0.012499578
3960,20,4,0,48.0,0.012622484
3970,20,4,0,45.0,0.011562132
3980,20,4,0,41.0,0.011891631
3990,20,4,0,47.0,0.015975377
4000,20,4,0,48.0,0.015131298
4010,20,4,0,40.0,0.017739061
4020,20,4,0,43.0,0.018678528
4030,20,4,0,48.0,0.016830326
4040,20,4,0,49.0,0.014087745
4050,20,4,0,46.0,0.011751462
4060,20,4,0,46.0,0.013364778
4070,20,4,0,53.0,0.015023365
4080,20,4,0,44.0,0.013082172
4090,20,4,0,57.0,0.012882039
4100,20,4,0,52.0,0.011913556
4110,20,4,0,54.0,0.01390614
4120,20,4,0,47.0,0.014892427
4130,20,4,0,43.0,0.014711193
4140,20,4,0,47.0,0.017374874
4150,20,4,0,50.0,0.016612711
4160,20,4,0,48.0,0.017893842
4170,20,4,0,55.0,0.015598671
4180,20,4,0,44.0,0.015045208
4190,20,4,0,44.0,0.012592013
4200,20,4,0,48.0,0.023387069
4210,20,4,0,45.0,0.030850865
4220,20,4,0,44.0,0.013612226
4230,20,4,0,49.0,0.012455111
4240,20,4,0,46.0,0.014697417
4250,20,4,0,47.0,0.013374617
4260,20,4,0,45.0,0.016761099
4270,20,4,0,45.0,0.0175768
4280,20,4,0,41.0,0.015825607
4290,20,4,0,48.0,0.024042479
4300,20,4,0,46.0,0.017869922
4310,20,4,0,46.0,0.013072764
4320,20,4,0,50.0,0.012683457
4330,20,4,0,47.0,0.013460202
4340,20,4,0,45.0,0.013899363
4350,20,4,0,35.0,0.014283447
4360,20,4,0,43.0,0.012397776
4370,20,4,0,42.0,0.016318605
4380,20,4,0,44.0,0.016770788
4390,20,4,0,39.0,0.022660058
4400,20,4,0,51.0,0.01654165
4410,20,4,0,48.0,0.016855533
4420,20,4,0,45.0,0.017037938
4430,20,4,0,46.0,0.014151374
4440,20,4,0,38.0,0.013517667
4450,20,4,0,48.0,0.014042373
4460,20,4,0,38.0,0.013171115
4470,20,4,0,44.0,0.012741026
4480,20,4,0,48.0,0.013468849
4490,20,4,0,50.0,0.019835895
4500,20,4,0,47.0,0.016687939
4510,20,4,0,45.0,0.016785836
4520,20,4,0,52.0,0.017563628
4530,20,4,0,44.0,0.017985119
4540,20,4,0,46.0,0.015826286
4550,20,4,0,49.0,0.016477529
4560,20,4,0,44.0,0.015217282
4570,20,4,0,51.0,0.040405522
4580,20,4,0,45.0,0.015197982
4590,20,4,0,39.0,0.013540569
4600,20,4,0,53.0,0.015748693
4610,20,4,0,45.0,0.022146389
4620,20,4,0,40.0,0.019015829
