iteration,population_size,to_mate,to_mutate,fitness,time
2210,200,110,2,4108.60600802,0.306444693
2220,200,110,2,4102.02764643,0.279440349
2230,200,110,2,4026.88629234,0.347149346
2240,200,110,2,4144.37041721,0.272188793
2250,200,110,2,3992.56515146,0.32496916
2260,200,110,2,3962.74056909,0.340090079
2270,200,110,2,4201.09186967,0.258141078
2280,200,110,2,4080.9425843,0.299863865
2290,200,110,2,4064.69656058,0.278355618
2300,200,110,2,4128.99137899,0.303394445
2310,200,110,2,4050.2013811,0.264036293
2320,200,110,2,4075.9395596,0.29465235
2330,200,110,2,4093.15795519,0.307886566
2340,200,110,2,4095.92560822,0.248825436
2350,200,110,2,4251.46957237,0.256613966
2360,200,110,2,4141.26046295,0.246187208
2370,200,110,2,4052.24908208,0.253659424
2380,200,110,2,4148.9483055,0.258678191
2390,200,110,2,3980.67157334,0.23184294
2400,200,110,2,4161.14083414,0.240700557
2410,200,110,2,4053.69179158,0.272063198
2420,200,110,2,4061.35179116,0.219363514
2430,200,110,2,4193.16506297,0.254361175
2440,200,110,2,4015.34244632,0.224354258
2450,200,110,2,4013.90068476,0.229245919
2460,200,110,2,4050.53769217,0.238279556
2470,200,110,2,4141.66062188,0.219799731
2480,200,110,2,4102.15915129,0.220321401
2490,200,110,2,4127.65984355,0.212739324
2500,200,110,2,4130.64515573,0.243500024
2510,200,110,2,4096.17260141,0.219709476
2520,200,110,2,4127.8017203,0.213357266
2530,200,110,2,4105.57409512,0.217925394
2540,200,110,2,4066.25285298,0.267461085
2550,200,110,2,4020.7210233,0.215950945
2560,200,110,2,3975.55483966,0.228507536
2570,200,110,2,4038.90975422,0.217196644
2580,200,110,2,4051.2247346,0.218830782
2590,200,110,2,4032.18677446,0.316142157
2600,200,110,2,4015.22953767,0.27984727
2610,200,110,2,4035.47343721,0.220795483
2620,200,110,2,4050.08188585,1.099534619
2630,200,110,2,4116.38037013,0.563859481
2640,200,110,2,4094.3089923,0.232504594
2650,200,110,2,4086.65312363,0.230999379
2660,200,110,2,4204.96437508,0.380628785
2670,200,110,2,4146.97603925,0.251613555
2680,200,110,2,4090.19044826,0.242659381
2690,200,110,2,3992.6989521,0.283869003
2700,200,110,2,4150.39718668,0.260423917
2710,200,110,2,4111.03715387,0.236019646
2720,200,110,2,4030.97147278,0.23047225
2730,200,110,2,4078.34605377,0.283964798
2740,200,110,2,4156.89467407,0.259249631
2750,200,110,2,4075.40940697,0.276931134
2760,200,110,2,4020.97521158,0.252386139
2770,200,110,2,3963.77880194,0.272289763
2780,200,110,2,4040.84527156,0.240235786
2790,200,110,2,4174.63205919,0.250795187
2800,200,110,2,3949.65459225,0.238904496
2810,200,110,2,4082.30149677,0.264487651
2820,200,110,2,4160.90198533,0.244421491
2830,200,110,2,3865.56569283,0.240699187
2840,200,110,2,4115.21226796,0.235610399
2850,200,110,2,4058.97674418,0.247381449
2860,200,110,2,4096.93891164,0.236863219
2870,200,110,2,4142.54866056,0.232859089
2880,200,110,2,4213.37626791,0.235583614
2890,200,110,2,4157.53419737,0.287925797
2900,200,110,2,4064.96274545,0.26706862
2910,200,110,2,4023.3207541,0.238198823
2920,200,110,2,4034.03768654,0.237407077
2930,200,110,2,4091.90035004,0.267251024
2940,200,110,2,4046.71090146,0.320780418
2950,200,110,2,4113.8859645,0.290351622
2960,200,110,2,4120.78844749,0.276129633
2970,200,110,2,4089.56478959,0.288759581
2980,200,110,2,4103.5479023,0.392904968
2990,200,110,2,4145.0126668,0.253055136
3000,200,110,2,4001.38619677,0.406203723
3010,200,110,2,4142.30108575,0.338996417
3020,200,110,2,4119.91561074,0.333206005
3030,200,110,2,4070.63490197,0.249222395
3040,200,110,2,4159.21455164,0.316601373
3050,200,110,2,4145.88548413,0.32849127
3060,200,110,2,4188.47578348,0.306499363
3070,200,110,2,4085.77559911,0.394853808
3080,200,110,2,4008.83282805,0.2778508
3090,200,110,2,4069.86825274,0.299454147
3100,200,110,2,4122.41875375,0.258612354
3110,200,110,2,4064.78618036,0.253106776
3120,200,110,2,4210.79707531,0.285863774
3130,200,110,2,3962.34785853,0.283869933
3140,200,110,2,4068.3534094,0.284567611
3150,200,110,2,4010.21907071,0.38353789
3160,200,110,2,4207.24600688,0.362003963
3170,200,110,2,4094.08114074,0.262404883
3180,200,110,2,4108.21430274,0.288420743
3190,200,110,2,3931.76874402,0.32118853
3200,200,110,2,4156.51795637,0.302696002
3210,200,110,2,4141.56871372,0.292157026
3220,200,110,2,4137.64093016,0.614276283
3230,200,110,2,4106.83663006,0.496224979
3240,200,110,2,4234.46717222,0.514979002
3250,200,110,2,4120.64821497,0.472865442
3260,200,110,2,4120.9658192,0.329983499
3270,200,110,2,4131.33974515,0.364817675
3280,200,110,2,4182.1115586,0.266321756
3290,200,110,2,4141.47190691,0.445311464
3300,200,110,2,4118.21172168,0.314831795
3310,200,110,2,4165.24118018,0.307930116
3320,200,110,2,4158.24606971,0.350387185
3330,200,110,2,3983.63634865,0.324639634
3340,200,110,2,4248.37820958,0.276752471
3350,200,110,2,4195.35779806,0.314455368
3360,200,110,2,4078.09227315,0.276609415
3370,200,110,2,4004.09267117,0.277051286
3380,200,110,2,4102.402619,0.403505354
3390,200,110,2,3995.28244271,0.299544558
3400,200,110,2,4127.36697597,0.277907241
3410,200,110,2,4144.29470796,0.284496114
3420,200,110,2,4127.89905072,0.292322922
3430,200,110,2,4219.55310006,0.288172476
3440,200,110,2,4218.36987036,0.322196413
3450,200,110,2,4048.62713631,0.304483923
3460,200,110,2,4040.0550802,0.312929334
3470,200,110,2,4096.54640868,0.280716036
3480,200,110,2,4153.7426882,0.291836278
3490,200,110,2,4154.10701282,0.345810542
3500,200,110,2,4129.10210196,0.338002765
3510,200,110,2,4114.57616796,0.32127129
3520,200,110,2,4073.75380457,0.328144698
3530,200,110,2,4080.44048214,0.35035179
3540,200,110,2,4095.64220125,0.300032928
3550,200,110,2,4121.100341,0.361610104
3560,200,110,2,4184.52619655,0.300472431
3570,200,110,2,4091.91279182,0.344504286
3580,200,110,2,4092.95464517,0.295923515
3590,200,110,2,4003.92749485,0.313963081
3600,200,110,2,4014.7550851,0.312785307
3610,200,110,2,4128.50485076,0.310147391
3620,200,110,2,4180.68378133,0.304879837
3630,200,110,2,4132.23422249,0.525887539
3640,200,110,2,4168.65698092,0.571482519
3650,200,110,2,4092.79896286,0.842744146
3660,200,110,2,3986.03441695,0.802689985
3670,200,110,2,4017.34026996,0.328418977
3680,200,110,2,4050.13582882,0.351599861
3690,200,110,2,4063.96355115,0.336191585
3700,200,110,2,4082.39177822,1.438243054
3710,200,110,2,4151.75112704,2.067308121
3720,200,110,2,4051.47994125,2.21518616
3730,200,110,2,4104.36209647,1.019635232
3740,200,110,2,4232.22699408,0.401660917
3750,200,110,2,4031.5372789,0.380095576
3760,200,110,2,4054.22686768,0.606754962
3770,200,110,2,4081.14344593,0.396727967
3780,200,110,2,4144.11178426,0.439710258
3790,200,110,2,4069.05320209,0.463242717
3800,200,110,2,4103.57943739,1.107647807
3810,200,110,2,4061.60767841,0.480825474
3820,200,110,2,4112.22846549,0.370239117
3830,200,110,2,4141.05762974,0.375169834
3840,200,110,2,4082.46327103,0.374308383
3850,200,110,2,3941.59552192,0.332848404
3860,200,110,2,4112.32680341,0.433117433
3870,200,110,2,4015.87619373,0.30912182
3880,200,110,2,4155.91071237,0.306477268
3890,200,110,2,4164.28877862,0.312681566
3900,200,110,2,4028.01125523,0.322598189
3910,200,110,2,4112.02718003,0.321778599
3920,200,110,2,4145.16609847,0.332083772
3930,200,110,2,4058.11046883,0.327782752
3940,200,110,2,4014.75258485,0.315300109
3950,200,110,2,4064.21296768,0.33086356
3960,200,110,2,3922.65368585,0.336257885
3970,200,110,2,4082.03090771,0.319976745
3980,200,110,2,4152.74856186,0.323361098
3990,200,110,2,4120.84161332,0.328810682
4000,200,110,2,4135.25306375,0.320602787
4010,200,110,2,4052.56554807,0.332811495
4020,200,110,2,4178.8746117,0.331977863
4030,200,110,2,4121.18803369,0.325907168
4040,200,110,2,4075.34985227,0.329826465
4050,200,110,2,4129.31203692,0.325132665
4060,200,110,2,4164.22690967,0.329810703
4070,200,110,2,4107.0344175,0.323299089
4080,200,110,2,4109.97931633,0.330488305
4090,200,110,2,4167.15637414,0.325329316
4100,200,110,2,4076.82553535,0.327651527
4110,200,110,2,4024.34808714,0.342136403
4120,200,110,2,4131.20799703,0.330511862
4130,200,110,2,4056.35791499,0.342257826
4140,200,110,2,3913.26666135,0.359330853
4150,200,110,2,4144.80556721,0.339987864
4160,200,110,2,4061.32014336,0.358323985
4170,200,110,2,4069.46954874,0.336398022
4180,200,110,2,4068.82215737,0.375073446
4190,200,110,2,4103.4117345,0.346283077
4200,200,110,2,4201.6383591,0.355815798
4210,200,110,2,4000.8298191,0.354542683
4220,200,110,2,4206.50551322,0.42505608
4230,200,110,2,4164.01500986,0.509677072
4240,200,110,2,4046.90911723,0.542262322
4250,200,110,2,4190.62861006,0.36218575
4260,200,110,2,3947.84149739,0.374539203
4270,200,110,2,4091.80746499,0.363216376
4280,200,110,2,4187.12629484,0.369468849
4290,200,110,2,4076.82861276,0.359656351
4300,200,110,2,4025.05968143,0.351305988
4310,200,110,2,4021.89622266,0.349930192
4320,200,110,2,4112.04520661,0.355966976
4330,200,110,2,4061.40593299,0.368319423
4340,200,110,2,4071.25809968,0.368001613
4350,200,110,2,4097.30904352,0.367419892
4360,200,110,2,4072.82687129,0.364028683
4370,200,110,2,4164.931989,0.381190563
4380,200,110,2,4098.26156246,0.380063491
4390,200,110,2,4061.79842625,0.375298175
4400,200,110,2,4155.47915974,0.383659653
4410,200,110,2,3976.56940067,0.368515498
4420,200,110,2,4117.22601015,0.371619987
4430,200,110,2,3968.17824116,0.375697934
4440,200,110,2,4141.71960775,0.355026279
4450,200,110,2,4117.37606103,0.380226433
4460,200,110,2,4008.17369236,0.373156121
4470,200,110,2,4144.65371709,0.366878949
4480,200,110,2,4033.4582179,0.368700135
4490,200,110,2,4085.49196066,0.395798476
4500,200,110,2,4180.7642051,0.41382257
4510,200,110,2,4169.66344812,0.50562164
4520,200,110,2,4108.86753531,0.398944809
4530,200,110,2,4155.37437247,0.363967478
4540,200,110,2,4150.44767533,0.40734633
4550,200,110,2,4237.0559653,0.382435063
4560,200,110,2,4175.52970763,0.363047385
4570,200,110,2,4094.43056002,0.38755909
4580,200,110,2,4054.3719495,0.400992297
4590,200,110,2,4099.88218995,0.389323129
4600,200,110,2,4057.53081232,0.400513952
4610,200,110,2,4082.75792704,0.38728796
4620,200,110,2,4165.15697527,0.380667809
4630,200,110,2,4010.03279491,0.395056827
4640,200,110,2,4081.15412356,0.418292843
4650,200,110,2,4216.24040703,0.450956188
4660,200,110,2,4176.97661922,0.409528059
4670,200,110,2,4084.04789058,0.398499957
4680,200,110,2,4145.60653367,0.438115641
4690,200,110,2,4017.87044601,0.453370924
4700,200,110,2,4086.12353369,0.438953887
4710,200,110,2,4167.23589543,0.421907051
4720,200,110,2,4175.12797832,0.399557374
4730,200,110,2,4219.0573639,0.438883451
4740,200,110,2,4162.49676226,0.464192272
4750,200,110,2,4084.87625897,0.417963344
4760,200,110,2,4166.58196231,0.39571912
4770,200,110,2,3966.0349121,0.852188161
4780,200,110,2,4064.93379403,0.515561358
4790,200,110,2,4048.11955475,0.387717419
4800,200,110,2,4162.09862408,0.381789082
4810,200,110,2,4104.59300285,0.402674236
4820,200,110,2,4118.43958256,0.424793815
4830,200,110,2,4176.5044976,0.731188371
4840,200,110,2,4141.06466324,0.707839176
4850,200,110,2,4164.48521798,0.842987178
4860,200,110,2,4092.67184122,0.959548774
4870,200,110,2,4114.36873543,0.851980155
4880,200,110,2,4179.94476622,0.473151617
4890,200,110,2,4082.52099755,0.455566801
4900,200,110,2,4167.03740389,0.4042596
4910,200,110,2,4049.7823947,0.401423946
4920,200,110,2,4202.72318762,0.858416882
4930,200,110,2,4169.63221458,0.420752811
4940,200,110,2,4142.92420202,0.851502514
4950,200,110,2,4174.68583267,0.72609522
4960,200,110,2,4088.80659562,0.819133886
4970,200,110,2,4080.85042686,0.423958404
4980,200,110,2,4114.271578,0.482240693
