iterations,samples,to_keep,m,fitness,time
130,200,100,0.7,3577.35973095,0.155068265
140,200,100,0.7,3510.62038744,0.182726851
150,200,100,0.7,3500.26568285,0.169088463
160,200,100,0.7,3518.38290466,0.330993803
170,200,100,0.7,3584.46804609,0.195129361
180,200,100,0.7,3568.51567593,0.220961608
190,200,100,0.7,3547.6527806,0.212451924
200,200,100,0.7,3446.9041481,0.217915356
210,200,100,0.7,3650.78729422,0.227839988
220,200,100,0.7,3563.90147473,0.238829434
230,200,100,0.7,3605.69013436,0.245984468
240,200,100,0.7,3560.66905446,0.259459115
250,200,100,0.7,3556.13096491,0.274267862
260,200,100,0.7,3626.04347906,0.277542142
270,200,100,0.7,3588.38829503,0.288868065
280,200,100,0.7,3576.07283686,0.304973802
290,200,100,0.7,3510.22518103,0.310108929
300,200,100,0.7,3559.98802827,0.318393533
310,200,100,0.7,3575.83393605,0.328789371
320,200,100,0.7,3631.09664294,0.397193908
330,200,100,0.7,3539.07907855,0.398963519
340,200,100,0.7,3544.96011986,0.369455204
350,200,100,0.7,3596.79496422,0.374644105
360,200,100,0.7,3428.35099412,0.399569284
370,200,100,0.7,3523.39870113,0.40003669
380,200,100,0.7,3553.74800974,0.41609998
390,200,100,0.7,3456.24309628,0.420100466
400,200,100,0.7,3547.03167573,0.425126417
410,200,100,0.7,3541.45781232,0.439910241
420,200,100,0.7,3610.07504368,0.446167663
430,200,100,0.7,3572.99526528,0.462145936
440,200,100,0.7,3524.82664833,0.529355455
450,200,100,0.7,3522.15036914,0.49819277
460,200,100,0.7,3624.00149624,0.50737298
470,200,100,0.7,3663.55497644,0.512281444
480,200,100,0.7,3652.12237131,0.538701123
490,200,100,0.7,3614.33315678,0.536545282
0,200,100,0.9,2635.202884,7.92499999847e-06
10,200,100,0.9,3475.30813929,0.013718059
20,200,100,0.9,3498.38011724,0.024995042
30,200,100,0.9,3619.06720785,0.035156814
40,200,100,0.9,3549.51553688,0.049090237
50,200,100,0.9,3443.13482093,0.058963387
